Aprimore suas habilidades Quem quer chá Afaste-se Afaste-se O carro é azul Ele veio!,APRIMORAR SUA HABILIDADE CHÁ QUER AFASTAR AFASTAR CARRO  AZUL ELE VIR [INTERROGAÇÃO]
Tenha cuidado com o Tom Como se soletra isso Eu assustei Tom A minha cabeça dói Ele sabe falar francês O cachorro parece estar com alguma doença.,CUIDADO TOM COMO SOLETRAR ASSUSTAR TOM CABEÇA DOER ELE SABER FALAR JAPONÊS CACHORRO DOENTE [PONTO]
Eu confiei em você Ele veio Como você a conheceu Tenha cuidado com o Tom Agora você é adulta Estou acostumado a isto.,CONFIAR VOCÊ ELE VIR COMO VOCÊ CONHECER CUIDADO TOM AGORA VOCÊ ADULTO ACUSTUMAR [PONTO]
Beba seu leite Beba seu leite Beba seu leite Alguém pisou no meu pé Leva tempo Comece.,BEBER SEU LEITE BEBER SEU LEITE BEBER SEU LEITE ALGUÉM PISAR MEU PÉ DEMORAR COMEÇAR [PONTO]
Ele sabe falar francês Amamos piqueniques Leva tempo Eles estão felizes Como você a conheceu Alguém tem de pagar o preço.,ELE SABER FALAR JAPONÊS AMAR PIQUENIQUE DEMORAR ELES FELIZ COMO VOCÊ CONHECER ALGUÉM PAGAR PREÇO [PONTO]
Eu como pão Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF Beba seu leite Tem certeza Isso demorou meses Como se soletra isso?,COMER PÃO DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF BEBER SEU LEITE CERTEZA DEMORAR MES COMO SOLETRAR [INTERROGAÇÃO]
O ar estava úmido Leva tempo O carro é azul O carro de Tom ficou sem gasolina Como você a conheceu Alguém vai comer isso?,AR ÚMIDO DEMORAR CARRO  AZUL CARRO TOM SEM GASOLINA COMO VOCÊ CONHECER ALGUÉM COMER [INTERROGAÇÃO]
O carro é azul Eu como pão Tem certeza Aprimore suas habilidades Bebe este suco O celeiro está em chamas.,CARRO  AZUL COMER PÃO CERTEZA APRIMORAR SUA HABILIDADE BEBER ESTE SUCO CELEIRO FOGO [PONTO]
Como é que sabemos isso Aonde ela foi ontem Quem quer chá Os agricultores estão plantado arroz Eles estão felizes Quem quer chá?,COMO SABER AONDE ELA IR ONTEM CHÁ QUER AGRICULTOR PLANTAR ARROZ ELES FELIZ CHÁ QUER [INTERROGAÇÃO]
Barbear leva tempo Tenha cuidado com o Tom Alguém tem de pagar o preço A minha cabeça dói O carro de Tom ficou sem gasolina Aonde ela foi ontem?,BARBEAR DEMORAR CUIDADO TOM ALGUÉM PAGAR PREÇO CABEÇA DOER CARRO TOM SEM GASOLINA AONDE ELA IR ONTEM [INTERROGAÇÃO]
Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF Como é que o seu filho se chama Amamos piqueniques A culpa não é minha Tenha cuidado com o Tom Eu amo a minha filha.,DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF COMO NOME SEU FILHO AMAR PIQUENIQUE CULPA MINHA NÃO CUIDADO TOM AMAR MEU FILHO [PONTO]
Foi complicado Isso demorou meses Quem quer chá Foi complicado Alguém pisou no meu pé Como é que o seu filho se chama?,DIFÍCIL DEMORAR MES CHÁ QUER DIFÍCIL ALGUÉM PISAR MEU PÉ COMO NOME SEU FILHO [INTERROGAÇÃO]
Seja discreto O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Quem quer chá O carro é azul O carro é azul Cadê o meu carro?,DISCRETO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CHÁ QUER CARRO  AZUL CARRO  AZUL CADÊ MEU CARRO [INTERROGAÇÃO]
A criança quase se afogou Eu amo a minha filha O carro de Tom ficou sem gasolina O clima local é tropical e normalmente muito quente e úmido Afaste-se Começo?,CRIANÇA QUASE AFOGAR  AMAR MEU FILHO CARRO TOM SEM GASOLINA CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO AFASTAR COMEÇAR [INTERROGAÇÃO]
Estou acostumado a isto Alguém vai comer isso O clima local é tropical e normalmente muito quente e úmido O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Tem certeza O clima local é tropical e normalmente muito quente e úmido.,ACUSTUMAR ALGUÉM COMER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CERTEZA CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Como se soletra isso O carro é azul É provável que chova hoje A culpa não é minha Ele veio O celeiro está em chamas.,COMO SOLETRAR CARRO  AZUL CERTEZA CHOVER HOJE CULPA MINHA NÃO ELE VIR CELEIRO FOGO [PONTO]
Leva tempo Cadê o meu carro Amamos piqueniques O cachorro parece estar com alguma doença Aprimore suas habilidades Como é que sabemos isso?,DEMORAR CADÊ MEU CARRO AMAR PIQUENIQUE CACHORRO DOENTE APRIMORAR SUA HABILIDADE COMO SABER [INTERROGAÇÃO]
Amamos piqueniques Alguém tem de pagar o preço O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Eu amo a minha filha Bom, agora você sabe O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte.,AMAR PIQUENIQUE ALGUÉM PAGAR PREÇO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE AMAR MEU FILHO BOM AGORA VOCÊ SABER CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE [PONTO]
Algumas pessoas se matam Aprimore suas habilidades O ar estava úmido Como você a conheceu Não bata a porta O celeiro está em chamas.,ALGUMA PESSOA MATAR APRIMORAR SUA HABILIDADE AR ÚMIDO COMO VOCÊ CONHECER BATER PORTA NÃO CELEIRO FOGO [PONTO]
Comece O celeiro está em chamas Começo Eu confiei em você Eu como pão Como se soletra isso?,COMEÇAR CELEIRO FOGO COMEÇAR CONFIAR VOCÊ COMER PÃO COMO SOLETRAR [INTERROGAÇÃO]
Os agricultores estão plantado arroz O clima local é tropical e normalmente muito quente e úmido Beba seu leite Seja discreto Comece Agora você é adulta.,AGRICULTOR PLANTAR ARROZ CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO BEBER SEU LEITE DISCRETO COMEÇAR AGORA VOCÊ ADULTO [PONTO]
Alguém tem de pagar o preço Eu adoro ambas O celeiro está em chamas O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte É provável que chova hoje Como é que o seu filho se chama?,ALGUÉM PAGAR PREÇO ADORO AMBOS CELEIRO FOGO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CERTEZA CHOVER HOJE COMO NOME SEU FILHO [INTERROGAÇÃO]
Eu adoro ambas Barbear leva tempo Como você a conheceu Alguém pisou no meu pé Bom, agora você sabe Estou acostumado a isto.,ADORO AMBOS BARBEAR DEMORAR COMO VOCÊ CONHECER ALGUÉM PISAR MEU PÉ BOM AGORA VOCÊ SABER ACUSTUMAR [PONTO]
Como você a conheceu A minha cabeça dói Afaste-se Eu assustei Tom O carro de Tom ficou sem gasolina Ele sabe falar francês?,COMO VOCÊ CONHECER CABEÇA DOER AFASTAR ASSUSTAR TOM CARRO TOM SEM GASOLINA ELE SABER FALAR JAPONÊS [PONTO]
Não bata a porta Aonde ela foi ontem O clima local é tropical e normalmente muito quente e úmido Seja discreto A culpa não é minha Amamos piqueniques.,BATER PORTA NÃO AONDE ELA IR ONTEM CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO DISCRETO CULPA MINHA NÃO AMAR PIQUENIQUE [PONTO]
Eles estão felizes Alguém tem de pagar o preço Agora você é adulta Barbear leva tempo Como se soletra isso Leva tempo.,ELES FELIZ ALGUÉM PAGAR PREÇO AGORA VOCÊ ADULTO BARBEAR DEMORAR COMO SOLETRAR DEMORAR [PONTO]
Eu assustei Tom Ele sabe falar francês Bom, agora você sabe Eu como pão É provável que chova hoje É provável que chova hoje.,ASSUSTAR TOM ELE SABER FALAR JAPONÊS BOM AGORA VOCÊ SABER COMER PÃO CERTEZA CHOVER HOJE CERTEZA CHOVER HOJE [PONTO]
O carro de Tom ficou sem gasolina Eu adoro ambas Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF Eles estão felizes O clima local é tropical e normalmente muito quente e úmido O cachorro parece estar com alguma doença.,CARRO TOM SEM GASOLINA ADORO AMBOS DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF ELES FELIZ CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CACHORRO DOENTE [PONTO]
O cachorro parece estar com alguma doença Comece A culpa não é minha Eu assustei Tom Quem quer chá É provável que chova hoje.,CACHORRO DOENTE COMEÇAR CULPA MINHA NÃO ASSUSTAR TOM CHÁ QUER CERTEZA CHOVER HOJE [PONTO]
Alguém pisou no meu pé O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte A culpa não é minha Ele veio Ele veio Aonde ela foi ontem?,ALGUÉM PISAR MEU PÉ CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CULPA MINHA NÃO ELE VIR ELE VIR AONDE ELA IR ONTEM [INTERROGAÇÃO]
Tem certeza A criança quase se afogou Não bata a porta A minha cabeça dói Leva tempo Alguém pisou no meu pé.,CERTEZA CRIANÇA QUASE AFOGAR  BATER PORTA NÃO CABEÇA DOER DEMORAR ALGUÉM PISAR MEU PÉ [PONTO]
O celeiro está em chamas O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Eu amo a minha filha A minha cabeça dói Alguém pisou no meu pé Seja discreto.,CELEIRO FOGO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE AMAR MEU FILHO CABEÇA DOER ALGUÉM PISAR MEU PÉ DISCRETO [PONTO]
Como é que o seu filho se chama Alguém vai comer isso É provável que chova hoje Afaste-se Alguém tem de pagar o preço A minha cabeça dói.,COMO NOME SEU FILHO ALGUÉM COMER CERTEZA CHOVER HOJE AFASTAR ALGUÉM PAGAR PREÇO CABEÇA DOER [PONTO]
Agora você é adulta Como você a conheceu Como você a conheceu Alguém pisou no meu pé O carro é azul É provável que chova hoje.,AGORA VOCÊ ADULTO COMO VOCÊ CONHECER COMO VOCÊ CONHECER ALGUÉM PISAR MEU PÉ CARRO  AZUL CERTEZA CHOVER HOJE [PONTO]
