Aprimore suas habilidades Quem quer chá Afaste-se Afaste-se O carro é azul.,APRIMORAR SUA HABILIDADE CHÁ QUER AFASTAR AFASTAR CARRO  AZUL [PONTO]
Tenha cuidado com o Tom Amamos piqueniques Eu amo a minha filha Como se soletra isso Tenha cuidado com o Tom.,CUIDADO TOM AMAR PIQUENIQUE AMAR MEU FILHO COMO SOLETRAR CUIDADO TOM [PONTO]
Eu confiei em você Como se soletra isso Leva tempo Leva tempo O ar estava úmido.,CONFIAR VOCÊ COMO SOLETRAR DEMORAR DEMORAR AR ÚMIDO [PONTO]
Beba seu leite Eu assustei Tom A criança quase se afogou A criança quase se afogou O ar estava úmido.,BEBER SEU LEITE ASSUSTAR TOM CRIANÇA QUASE AFOGAR  CRIANÇA QUASE AFOGAR  AR ÚMIDO [PONTO]
Ele sabe falar francês Os agricultores estão plantado arroz Tem certeza Comece Tem certeza?,ELE SABER FALAR JAPONÊS AGRICULTOR PLANTAR ARROZ CERTEZA COMEÇAR CERTEZA [INTERROGAÇÃO]
Eu como pão A criança quase se afogou Como se soletra isso Eu assustei Tom A minha cabeça dói.,COMER PÃO CRIANÇA QUASE AFOGAR  COMO SOLETRAR ASSUSTAR TOM CABEÇA DOER [PONTO]
O ar estava úmido Ele sabe falar francês O cachorro parece estar com alguma doença Ele veio Como você a conheceu?,AR ÚMIDO ELE SABER FALAR JAPONÊS CACHORRO DOENTE ELE VIR COMO VOCÊ CONHECER [INTERROGAÇÃO]
O carro é azul Tenha cuidado com o Tom Agora você é adulta Estou acostumado a isto Beba seu leite.,CARRO  AZUL CUIDADO TOM AGORA VOCÊ ADULTO ACUSTUMAR BEBER SEU LEITE [PONTO]
Como é que sabemos isso Beba seu leite Alguém pisou no meu pé Leva tempo Comece.,COMO SABER BEBER SEU LEITE ALGUÉM PISAR MEU PÉ DEMORAR COMEÇAR [PONTO]
Barbear leva tempo Amamos piqueniques Leva tempo Eles estão felizes Como você a conheceu?,BARBEAR DEMORAR AMAR PIQUENIQUE DEMORAR ELES FELIZ COMO VOCÊ CONHECER [INTERROGAÇÃO]
Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF Alguém tem de pagar o preço Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF Beba seu leite Tem certeza?,DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF ALGUÉM PAGAR PREÇO DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF BEBER SEU LEITE CERTEZA [INTERROGAÇÃO]
Foi complicado Isso demorou meses Como se soletra isso Leva tempo O carro é azul.,DIFÍCIL DEMORAR MES COMO SOLETRAR DEMORAR CARRO  AZUL [PONTO]
Seja discreto O carro de Tom ficou sem gasolina Como você a conheceu Alguém vai comer isso Eu como pão.,DISCRETO CARRO TOM SEM GASOLINA COMO VOCÊ CONHECER ALGUÉM COMER COMER PÃO [PONTO]
A criança quase se afogou Tem certeza Aprimore suas habilidades Bebe este suco O celeiro está em chamas.,CRIANÇA QUASE AFOGAR  CERTEZA APRIMORAR SUA HABILIDADE BEBER ESTE SUCO CELEIRO FOGO [PONTO]
Estou acostumado a isto Aonde ela foi ontem Quem quer chá Os agricultores estão plantado arroz Eles estão felizes.,ACUSTUMAR AONDE ELA IR ONTEM CHÁ QUER AGRICULTOR PLANTAR ARROZ ELES FELIZ [PONTO]
Como se soletra isso Quem quer chá Tenha cuidado com o Tom Alguém tem de pagar o preço A minha cabeça dói.,COMO SOLETRAR CHÁ QUER CUIDADO TOM ALGUÉM PAGAR PREÇO CABEÇA DOER [PONTO]
Leva tempo O carro de Tom ficou sem gasolina Aonde ela foi ontem Como é que o seu filho se chama Amamos piqueniques.,DEMORAR CARRO TOM SEM GASOLINA AONDE ELA IR ONTEM COMO NOME SEU FILHO AMAR PIQUENIQUE [PONTO]
Amamos piqueniques A culpa não é minha Tenha cuidado com o Tom Eu amo a minha filha Isso demorou meses.,AMAR PIQUENIQUE CULPA MINHA NÃO CUIDADO TOM AMAR MEU FILHO DEMORAR MES [PONTO]
Algumas pessoas se matam Quem quer chá Foi complicado Alguém pisou no meu pé Como é que o seu filho se chama?,ALGUMA PESSOA MATAR CHÁ QUER DIFÍCIL ALGUÉM PISAR MEU PÉ COMO NOME SEU FILHO [INTERROGAÇÃO]
Comece O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Quem quer chá O carro é azul O carro é azul.,COMEÇAR CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CHÁ QUER CARRO  AZUL CARRO  AZUL [PONTO]
Os agricultores estão plantado arroz Cadê o meu carro Eu amo a minha filha O carro de Tom ficou sem gasolina O clima local é tropical e normalmente muito quente e úmido.,AGRICULTOR PLANTAR ARROZ CADÊ MEU CARRO AMAR MEU FILHO CARRO TOM SEM GASOLINA CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Alguém tem de pagar o preço Afaste-se Começo Alguém vai comer isso O clima local é tropical e normalmente muito quente e úmido.,ALGUÉM PAGAR PREÇO AFASTAR COMEÇAR ALGUÉM COMER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Eu adoro ambas O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Tem certeza O clima local é tropical e normalmente muito quente e úmido O carro é azul.,ADORO AMBOS CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CERTEZA CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CARRO  AZUL [PONTO]
Como você a conheceu É provável que chova hoje A culpa não é minha Ele veio O celeiro está em chamas.,COMO VOCÊ CONHECER CERTEZA CHOVER HOJE CULPA MINHA NÃO ELE VIR CELEIRO FOGO [PONTO]
Não bata a porta Cadê o meu carro Amamos piqueniques O cachorro parece estar com alguma doença Aprimore suas habilidades.,BATER PORTA NÃO CADÊ MEU CARRO AMAR PIQUENIQUE CACHORRO DOENTE APRIMORAR SUA HABILIDADE [PONTO]
Eles estão felizes Como é que sabemos isso Alguém tem de pagar o preço O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Eu amo a minha filha.,ELES FELIZ COMO SABER ALGUÉM PAGAR PREÇO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE AMAR MEU FILHO [PONTO]
Eu assustei Tom Bom, agora você sabe O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Aprimore suas habilidades O ar estava úmido.,ASSUSTAR TOM BOM AGORA VOCÊ SABER CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE APRIMORAR SUA HABILIDADE AR ÚMIDO [PONTO]
O carro de Tom ficou sem gasolina Como você a conheceu Não bata a porta O celeiro está em chamas O celeiro está em chamas.,CARRO TOM SEM GASOLINA COMO VOCÊ CONHECER BATER PORTA NÃO CELEIRO FOGO CELEIRO FOGO [PONTO]
O cachorro parece estar com alguma doença Começo Eu confiei em você Eu como pão Como se soletra isso?,CACHORRO DOENTE COMEÇAR CONFIAR VOCÊ COMER PÃO COMO SOLETRAR [INTERROGAÇÃO]
Alguém pisou no meu pé O clima local é tropical e normalmente muito quente e úmido Beba seu leite Seja discreto Comece.,ALGUÉM PISAR MEU PÉ CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO BEBER SEU LEITE DISCRETO COMEÇAR [PONTO]
Tem certeza Agora você é adulta Eu adoro ambas O celeiro está em chamas O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte.,CERTEZA AGORA VOCÊ ADULTO ADORO AMBOS CELEIRO FOGO CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE [PONTO]
O celeiro está em chamas É provável que chova hoje Como é que o seu filho se chama Barbear leva tempo Como você a conheceu?,CELEIRO FOGO CERTEZA CHOVER HOJE COMO NOME SEU FILHO BARBEAR DEMORAR COMO VOCÊ CONHECER [INTERROGAÇÃO]
Como é que o seu filho se chama Alguém pisou no meu pé Bom, agora você sabe Estou acostumado a isto A minha cabeça dói.,COMO NOME SEU FILHO ALGUÉM PISAR MEU PÉ BOM AGORA VOCÊ SABER ACUSTUMAR CABEÇA DOER [PONTO]
Agora você é adulta Afaste-se Eu assustei Tom O carro de Tom ficou sem gasolina Ele sabe falar francês?,AGORA VOCÊ ADULTO AFASTAR ASSUSTAR TOM CARRO TOM SEM GASOLINA ELE SABER FALAR JAPONÊS [PONTO]
